"rep.distance","capsid.distance"
"1.35","1.38"
"2.97","5.26"
"3.40","5.86"
"3.75","4.75"
"3.37","4.75"
"1.50","4.09"
"3.83","4.45"
"3.51","4.08"
"1.46","4.31"
"0.24","1.18"
"4.12","4.39"
"3.54","4.16"
"1.44","4.29"
"0.18","0.36"
"0.18","1.31"
"3.89","4.37"
"3.52","5.16"
"1.54","5.51"
"0.24","1.83"
"0.20","1.89"
"0.18","1.76"
"3.00","3.58"
"3.38","3.66"
"5.53","5.55"
"5.08","6.53"
"4.87","6.13"
"5.00","6.06"
"4.84","6.84"
"4.90","4.85"
"4.16","4.98"
"5.32","3.02"
"5.57","5.12"
"5.62","4.68"
"6.06","4.87"
"6.13","4.72"
"5.17","5.35"
"5.79","5.27"
"5.59","5.26"
"3.78","2.8"
"3.84","3.85"
"4.13","4.22"
"4.18","3.69"
"4.40","4.49"
"5.52","5.26"
"2.83","2.11"
"4.84","4.86"
"4.18","4.47"
"3.78","3.39"
"3.24","5.79"
"3.40","5.26"
"3.47","5.87"
"3.32","4.73"
"5.65","5.3"
"2.77","1.89"
"2.45","2.7"
"4.99","4.32"
"4.94","5.7"
"3.93","3.5"
"3.51","5.85"
"3.59","5.49"
"3.57","5.83"
"3.45","5.09"
"4.70","5.8"
"3.73","1.8"
"2.97","2.26"
"1.15","1.03"
"4.38","8.6"
"5.40","8.61"
"3.90","4.28"
"2.78","6.89"
"3.32","6.24"
"2.94","6.02"
"3.13","6.81"
"4.58","7.02"
"4.25","2.68"
"3.59","2.78"
"3.32","3.36"
"3.22","3.35"
"6.24","7.17"
"4.64","6.94"
"4.23","4.27"
"3.51","7.34"
"3.86","6.23"
"3.89","6.84"
"4.07","6.48"
"6.13","7.69"
"3.95","2.87"
"3.48","2.64"
"3.10","3.26"
"4.03","3.08"
"1.78","1.14"
"6.03","6.04"
"4.44","5.73"
"3.62","3.55"
"3.77","5.24"
"4.07","4.74"
"4.05","5.31"
"4.32","6.64"
"7.23","7.63"
"3.34","2.65"
"4.06","2.49"
"3.67","2.85"
"3.92","2.82"
"3.37","2.86"
"3.08","2.39"
"6.11","6.73"
"5.84","7.82"
"7.02","3.52"
"6.03","6.71"
"5.59","6.16"
"5.75","7"
"5.83","7.45"
"5.22","6.68"
"4.95","2.33"
"3.97","2.74"
"3.90","3.24"
"4.18","2.93"
"2.96","2.27"
"3.25","2.41"
"3.88","2.32"
"6.78","7.57"
"4.86","6.52"
"5.42","4.14"
"4.52","6.4"
"4.81","5.89"
"4.37","5.44"
"4.47","7.25"
"5.48","6.31"
"3.68","2.71"
"3.46","2.45"
"3.35","3.14"
"3.42","2.95"
"2.75","2.25"
"3.11","2.52"
"3.06","2.49"
"2.21","1.75"
"5.19","4.39"
"4.67","4.64"
"4.53","3.22"
"4.49","4.12"
"4.56","3.92"
"4.54","4.22"
"4.98","5.21"
"4.82","6.49"
"3.11","2.71"
"3.49","3.03"
"3.72","3.64"
"4.68","3.54"
"3.55","3.64"
"4.10","4"
"5.22","3.85"
"4.55","3.75"
"4.15","4.44"
"4.53","4.75"
"4.58","5.14"
"5.14","3.51"
"5.29","4.09"
"5.28","4.07"
"5.16","3.92"
"5.62","5"
"4.76","6.7"
"3.13","2.99"
"3.75","3.28"
"3.68","3.44"
"4.11","3.36"
"3.64","3.86"
"4.22","4.14"
"4.94","3.78"
"4.88","3.77"
"4.78","4.04"
"0.68","0.44"
"12.38","9.61"
"9.57","16.32"
"7.87","5.97"
"8.14","8.65"
"7.64","7.76"
"8.20","10.28"
"8.34","9.94"
"12.80","10.96"
"10.13","7.68"
"6.44","7.69"
"6.99","7.96"
"9.74","9.16"
"8.63","7.93"
"13.32","8.96"
"7.52","7.33"
"7.20","7.9"
"8.14","8.47"
"7.72","8.9"
"10.58","8.76"
"18.73","7.49"
"11.49","14.63"
"10.66","6.47"
